Substrate,Products,Kinetic Law,Modifiers,Parameters
IkBa,,Mass Action Mod,IKK_on,k1_IkBaDegIKK-linking
IkBb,,Mass Action Mod,IKK_on,k1_IkBbDegIKK-linking
IkBe,,Mass Action Mod,IKK_on,k1_IkBeDegIKK-linking
IkBa,,Mass Action,,k1_IkBadeg-linking
IkBb,,Mass Action,,k1_IkBbdeg-linking
IkBe,,Mass Action,,k1_IkBedeg-linking
RelAp50IkBa,RelAp50,Mass Action Mod,IKK_on,k1_IkBaDegIKK-linking
RelAp50IkBb,RelAp50,Mass Action Mod,IKK_on,k1_IkBbDegIKK-linking
RelAp50IkBe,RelAp50,Mass Action Mod,IKK_on,k1_IkBeDegIKK-linking
RelBp50IkBa,RelBp50,Mass Action Mod,IKK_on,k1_IkBaDegIKK-linking
RelBp50IkBb,RelBp50,Mass Action Mod,IKK_on,k1_IkBbDegIKK-linking
RelBp50IkBe,RelBp50,Mass Action Mod,IKK_on,k1_IkBeDegIKK-linking
RelBp52IkBa,RelBp52,Mass Action Mod,IKK_on,k1_IkBaDegIKK-linking
RelBp52IkBb,RelBp52,Mass Action Mod,IKK_on,k1_IkBbDegIKK-linking
RelBp52IkBe,RelBp52,Mass Action Mod,IKK_on,k1_IkBeDegIKK-linking
cRelp50IkBa,cRelp50,Mass Action Mod,IKK_on,k1_IkBaDegIKK-linking
cRelp50IkBb,cRelp50,Mass Action Mod,IKK_on,k1_IkBbDegIKK-linking
cRelp50IkBe,cRelp50,Mass Action Mod,IKK_on,k1_IkBeDegIKK-linking
cRelp52IkBa,cRelp52,Mass Action Mod,IKK_on,k1_IkBaDegIKK-linking
cRelp52IkBb,cRelp52,Mass Action Mod,IKK_on,k1_IkBbDegIKK-linking
cRelp52IkBe,cRelp52,Mass Action Mod,IKK_on,k1_IkBeDegIKK-linking
RelAp52IkBa,RelAp52,Mass Action Mod,IKK_on,k1_IkBaDegIKK-linking
RelAp52IkBb,RelAp52,Mass Action Mod,IKK_on,k1_IkBbDegIKK-linking
RelAp52IkBe,RelAp52,Mass Action Mod,IKK_on,k1_IkBeDegIKK-linking
RelAp50IkBa,RelAp50,Mass Action,,k1_IkBDeg-linking
RelAp50IkBb,RelAp50,Mass Action,,k1_IkBDeg-linking
RelAp50IkBe,RelAp50,Mass Action,,k1_IkBDeg-linking
RelBp50IkBa,RelBp50,Mass Action,,k1_IkBDeg-linking
RelBp50IkBb,RelBp50,Mass Action,,k1_IkBDeg-linking
RelBp50IkBe,RelBp50,Mass Action,,k1_IkBDeg-linking
RelBp52IkBa,RelBp52,Mass Action,,k1_IkBDeg-linking
RelBp52IkBb,RelBp52,Mass Action,,k1_IkBDeg-linking
RelBp52IkBe,RelBp52,Mass Action,,k1_IkBDeg-linking
cRelp50IkBa,cRelp50,Mass Action,,k1_IkBDeg-linking
cRelp50IkBb,cRelp50,Mass Action,,k1_IkBDeg-linking
cRelp50IkBe,cRelp50,Mass Action,,k1_IkBDeg-linking
cRelp52IkBa,cRelp52,Mass Action,,k1_IkBDeg-linking
cRelp52IkBb,cRelp52,Mass Action,,k1_IkBDeg-linking
